id;source;type;rule;severity;file;startLine;startColumn;endLine;endColumn
745b8c5c-c598-48ab-b38b-ee62f647e328;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/CatalogRuleConfigurable/Plugin/CatalogRule/Model/ConfigurableProductsProvider.php;37;16;37;19
999068f3-eb78-4f01-b40f-68301ac32c9d;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/CatalogWidget/Model/Rule/Condition/Product.php;175;34;175;38
787b47e1-29c9-4f84-97f1-05701903b303;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/CatalogWidget/Model/Rule/Condition/Product.php;217;41;217;45
bc5e8dd5-75b2-4722-b68b-ab0f5f5e2d64;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/CatalogWidget/Model/Rule/Condition/Product.php;218;39;218;43
5304d294-0985-413b-854b-e53980eea9e0;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Controller/Cart/Add.php;195;13;195;82
1cc80122-0a40-4e4e-87d6-9d3aa01c26bd;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Controller/Cart/Addgroup.php;78;21;78;90
5926892b-b9d9-45a9-a9ce-bf57c41d8847;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Controller/Cart/Configure.php;90;13;90;82
685cbaef-c4d2-4e22-81fd-ba24c9a4c17b;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Controller/Cart/CouponPost.php;136;13;136;82
4abf93c1-2ed2-4473-af3f-b9311e55e0b8;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Controller/Cart/Delete.php;39;17;39;86
f8890302-111a-447d-8f0d-acd7b3cb26ae;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Controller/Cart/UpdateItemOptions.php;105;13;105;73
eeca2514-9fa5-4971-a95c-85fd35b6b326;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Controller/Cart/UpdatePost.php;92;13;92;82
7c89ca49-ca05-4822-9cba-d85847becedd;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Controller/Onepage/SaveOrder.php;85;13;85;82
c1f8fc9e-ce1b-475b-a27b-c35e511cdbfd;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Controller/Onepage/SaveOrder.php;115;13;115;82
b2efce24-5416-489f-9514-1dc0f21a0a48;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Controller/Sidebar/RemoveItem.php;103;13;103;36
ddb17561-f373-405f-9c04-fdea2f4d1fe3;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Controller/Sidebar/RemoveItem.php;106;13;106;36
19b0ac57-f4b7-43f9-8982-68cf40476c63;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Controller/Sidebar/UpdateItemQty.php;89;13;89;36
ff4f3ff5-4be0-4787-b01a-557085f757dc;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Model/GuestPaymentInformationManagement.php;144;13;144;36
0a6e17c5-4345-4346-9aa1-28533f1be87c;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Model/GuestPaymentInformationManagement.php;157;13;157;36
37af6e68-e80e-4098-9e88-1daf7304522c;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Model/PaymentInformationManagement.php;158;13;158;36
0ef0339f-4fa1-4678-948a-be4c8e04898b;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Checkout/Model/PaymentInformationManagement.php;171;13;171;36
